customerid,order_date,item,quantity,price
10330,30-Jun-99,Pogo stick ,1,28
10101,30-Jun-99,Raft ,1,58
10298,1-Jul-99,Skateboard ,1,33
10101,1-Jul-99,Life Vest ,4,125
10299,6-Jul-99,Parachute ,1,1250
10339,27-Jul-99,Umbrella ,1,4.5
10449,13-Aug-99,Unicycle ,1,180.79
10439,14-Aug-99,Ski Poles ,2,25.5
10101,18-Aug-99,Rain Coat ,1,18.3
10449,1-Sep-99,Snow Shoes ,1,45
10439,18-Sep-99,Tent ,1,88
10298,19-Sep-99,Lantern ,2,29
10410,28-Oct-99,Sleeping Bag ,1,89.22
10438,1-Nov-99,Umbrella ,1,6.75
10438,2-Nov-99,Pillow ,1,8.5
10298,1-Dec-99,Helmet ,1,22
10449,15-Dec-99,Bicycle ,1,380.5
10449,22-Dec-99,Canoe ,1,280
10101,30-Dec-99,Hoola Hoop ,3,14.75
10330,1-Jan-00,Flashlight ,4,28
10101,2-Jan-00,Lantern ,1,16
10299,18-Jan-00,Inflatable Mattress ,1,38
10438,18-Jan-00,Tent ,1,79.99
10413,19-Jan-00,Lawnchair ,4,32
10410,30-Jan-00,Unicycle ,1,192.5
10315,2-Feb-00,Compass ,1,8
10449,29-Feb-00,Flashlight ,1,4.5
10101,8-Mar-00,Sleeping Bag ,2,88.7
10298,18-Mar-00,Pocket Knife ,1,22.38
10449,19-Mar-00,Canoe paddle ,2,40
10298,1-Apr-00,Ear Muffs ,1,12.5
10330,19-Apr-00,Shovel ,1,16.75
